iter	Logloss
0	0.6544097931
1	0.6199424478
2	0.5902512186
3	0.5642463433
4	0.5426711318
5	0.5222620033
6	0.5048781334
7	0.489353785
8	0.476053607
9	0.4653956776
10	0.4556565006
11	0.4466855616
12	0.4392521979
13	0.4325133281
14	0.4264650377
15	0.4211654995
16	0.4157714597
17	0.4113803222
18	0.4074509556
19	0.4039682224
20	0.4007286415
21	0.3980290515
22	0.3954916772
23	0.3927134312
24	0.3903956726
25	0.3882741812
26	0.3861962788
27	0.3842753003
28	0.3824872065
29	0.3810614507
30	0.3796115113
31	0.3782463796
32	0.3770924734
33	0.3759686604
34	0.3748071729
35	0.3736624234
36	0.3727242515
37	0.3718977157
38	0.3711130199
39	0.3702069845
40	0.3695733549
41	0.3689378465
42	0.3683708331
43	0.3677279406
44	0.3672268654
45	0.3666365251
46	0.3661466274
47	0.3656086848
48	0.3651775527
49	0.3647576336
50	0.364425734
51	0.364023117
52	0.363681577
53	0.3633212367
54	0.3629547471
55	0.3626429461
56	0.3623246407
57	0.3620234557
58	0.3616913423
59	0.3614140638
60	0.3611048946
61	0.3608219233
62	0.3605343962
63	0.3603215501
64	0.360072495
65	0.3597494744
66	0.3595149994
67	0.3592827822
68	0.3591004882
69	0.3588680781
70	0.3586708381
71	0.3584553935
72	0.3582610595
73	0.3580778055
