iter	Passed	Remaining
0	166	332961
1	265	265119
2	349	232844
3	432	216038
4	512	204481
5	594	197482
6	681	193910
7	767	191144
8	854	188944
9	939	187023
10	1037	187571
11	1151	190836
12	1234	188725
13	1321	187469
14	1410	186665
15	1502	186277
16	1590	185475
17	1673	184267
18	1758	183336
19	1844	182609
20	1930	181905
21	2012	180901
22	2094	180013
23	2182	179651
24	2271	179409
25	2357	179004
26	2443	178551
27	2524	177800
28	2609	177334
29	2693	176885
30	2778	176500
31	2863	176124
32	2946	175629
33	3028	175135
34	3113	174776
35	3200	174603
36	3294	174773
37	3403	175728
38	3494	175699
39	3575	175198
40	3662	174972
41	3744	174586
42	3824	174052
43	3904	173558
44	3987	173227
45	4073	173046
46	4156	172724
47	4239	172389
48	4323	172154
49	4420	172381
50	4500	171990
51	4580	171608
52	4659	171157
53	4739	170781
54	4819	170438
55	4896	169989
56	4978	169690
57	5059	169394
58	5140	169108
59	5251	169789
60	5375	170861
61	5491	171664
62	5604	172316
63	5719	173026
64	5838	173811
65	5960	174669
66	6074	175257
67	6190	175896
68	6283	175849
69	6373	175723
70	6499	176585
71	6588	176427
72	6673	176153
73	6784	176590
