id,Class_1,Class_2,Class_3,Class_4
100000,0.074330814,0.60614246,0.22765611,0.09187057
100001,0.10217556,0.56656885,0.25249252,0.07876303
100002,0.101694025,0.6582099,0.14348856,0.09660752
100003,0.122799926,0.33695474,0.37867936,0.16156602
100004,0.07448833,0.518162,0.32239532,0.08495423
100005,0.06864818,0.36210388,0.49275082,0.07649708
100006,0.0939769,0.434898,0.34271413,0.12841111
100007,0.09498869,0.71261835,0.11870334,0.07368966
100008,0.05826627,0.5585329,0.27197474,0.111226134
100009,0.09153097,0.44369212,0.3077665,0.15701045
100010,0.07289547,0.5367459,0.24401745,0.14634113
100011,0.07292346,0.69449556,0.11311952,0.11946144
100012,0.15045698,0.35039768,0.32782292,0.17132242
100013,0.08169623,0.6043933,0.15315083,0.16075955
100014,0.083780065,0.46019655,0.31972897,0.13629441
100015,0.07310623,0.5244122,0.20565265,0.19682893
100016,0.08894787,0.6157596,0.15210018,0.1431923
100017,0.109055966,0.48708937,0.27661276,0.12724192
100018,0.08553714,0.6301386,0.21508698,0.069237284
100019,0.093161054,0.6188667,0.13394162,0.15403073
100020,0.10051263,0.610524,0.1776023,0.11136112
100021,0.08803943,0.7146909,0.11489126,0.082378455
100022,0.0687517,0.77218604,0.09816792,0.060894337
100023,0.0966192,0.5906947,0.15562432,0.15706171
100024,0.09221072,0.72918427,0.11539789,0.06320712
100025,0.088130385,0.52108264,0.21225943,0.17852749
100026,0.10142162,0.36401886,0.40578195,0.12877755
100027,0.11680982,0.43313214,0.31831875,0.13173921
100028,0.18438138,0.45181984,0.22048886,0.14330994
100029,0.03193733,0.8276465,0.08091191,0.05950428
100030,0.096000515,0.50649387,0.22414643,0.17335923
100031,0.07919667,0.6460541,0.17062327,0.10412589
100032,0.047083896,0.51072127,0.33611682,0.10607797
100033,0.07485017,0.31235942,0.49623057,0.11655979
100034,0.14796892,0.38260546,0.33996904,0.12945656
100035,0.08287942,0.6594852,0.14978178,0.10785356
100036,0.14810738,0.37917706,0.33943453,0.13328105
100037,0.09336981,0.59627783,0.16257437,0.14777802
100038,0.09257851,0.41454273,0.34386143,0.14901729
100039,0.1023481,0.5815225,0.23405185,0.08207755
100040,0.086212225,0.63166064,0.16895735,0.113169745
100041,0.09289016,0.49909458,0.21324767,0.1947676
100042,0.099814184,0.37093338,0.3802735,0.148979
100043,0.060693283,0.6276048,0.1897695,0.12193248
100044,0.090598874,0.6904985,0.13661544,0.0822872
100045,0.062955566,0.5517155,0.11274446,0.27258453
100046,0.05140866,0.61606187,0.22194235,0.11058719
100047,0.088148266,0.60000575,0.15945901,0.15238698
100048,0.10099765,0.6971771,0.13142869,0.07039653
100049,0.086050645,0.592067,0.21997216,0.10191014
100050,0.26637396,0.30561003,0.35073948,0.07727649
100051,0.07894956,0.42554185,0.2573438,0.23816487
100052,0.09735497,0.6321548,0.13251081,0.1379794
100053,0.089087665,0.63305473,0.10703435,0.1708233
100054,0.090468585,0.36612323,0.43523732,0.10817085
100055,0.08015567,0.6869472,0.12083342,0.11206368
100056,0.10695776,0.6359242,0.17517671,0.081941314
100057,0.16543731,0.48427033,0.27950665,0.07078567
100058,0.12045535,0.46774468,0.3271427,0.08465722
100059,0.069671996,0.7301375,0.11111136,0.08907909
100060,0.09230601,0.462281,0.20533036,0.24008271
100061,0.08808357,0.52711684,0.23383269,0.15096685
100062,0.09198988,0.6546998,0.13430277,0.11900759
100063,0.08611521,0.45295775,0.32008868,0.14083838
100064,0.100715764,0.6454353,0.14642249,0.10742646
