id,Class_1,Class_2,Class_3,Class_4
100000,0.08803119,0.63035,0.16624394,0.11537488
100001,0.09997766,0.6103235,0.19936873,0.09033007
100002,0.09268825,0.6632313,0.1359549,0.10812555
100003,0.08822263,0.42486176,0.37403223,0.11288338
100004,0.08053941,0.5741311,0.22351693,0.12181259
100005,0.08606507,0.44374195,0.3563882,0.113804646
100006,0.08860771,0.39158288,0.39782628,0.12198303
100007,0.09149252,0.68578506,0.1449275,0.07779493
100008,0.08765879,0.42579213,0.38810068,0.098448426
100009,0.08318209,0.48330772,0.28320068,0.15030953
100010,0.08902535,0.6179983,0.1652143,0.12776205
100011,0.08758003,0.6351808,0.13242729,0.14481202
100012,0.08533235,0.4519168,0.31663767,0.1461132
100013,0.08631553,0.6067893,0.16614999,0.14074516
100014,0.08934761,0.549786,0.2646281,0.09623824
100015,0.084623225,0.5947752,0.19282675,0.12777473
100016,0.08237942,0.5921613,0.17407788,0.15138139
100017,0.08708507,0.45594215,0.3251995,0.13177326
100018,0.08433916,0.5173773,0.2782751,0.120008394
100019,0.08470682,0.6184839,0.14449443,0.15231478
100020,0.08525185,0.59217274,0.19612275,0.12645264
100021,0.09492384,0.57441175,0.2275717,0.10309271
100022,0.08405124,0.50406003,0.30738446,0.10450421
100023,0.08145087,0.5643175,0.20442952,0.14980213
100024,0.08675421,0.6114734,0.16262875,0.1391436
100025,0.07505735,0.52989537,0.20642631,0.18862092
100026,0.091273986,0.41517136,0.37891716,0.11463752
100027,0.09292625,0.48138818,0.32018965,0.105495885
100028,0.08279537,0.5759798,0.19627774,0.14494704
100029,0.08938945,0.67440766,0.14640458,0.0897983
100030,0.0818215,0.532366,0.2575766,0.12823601
100031,0.09043995,0.4919172,0.30794957,0.10969326
100032,0.08596608,0.42433676,0.372537,0.11716021
100033,0.087386444,0.39280966,0.39638257,0.12342135
100034,0.07999461,0.5388256,0.22235838,0.15882148
100035,0.082257114,0.6049772,0.15336731,0.15939842
100036,0.08660388,0.41088828,0.36838293,0.13412495
100037,0.08714084,0.6144173,0.18186279,0.11657901
100038,0.089946136,0.44688314,0.36631507,0.09685558
100039,0.08709567,0.46732196,0.3275225,0.118059784
100040,0.08819827,0.63267034,0.16695486,0.112176605
100041,0.07384121,0.5349724,0.19475701,0.19642948
100042,0.077000774,0.566931,0.18007709,0.17599115
100043,0.08234797,0.5799923,0.19059667,0.14706318
100044,0.08802622,0.59021467,0.21705605,0.10470308
100045,0.08327226,0.46016777,0.30664003,0.14991994
100046,0.08121646,0.5654966,0.24658078,0.10670609
100047,0.079582185,0.5858526,0.16916282,0.16540243
100048,0.09464241,0.68020946,0.12750758,0.09764049
100049,0.0884918,0.59772354,0.18963422,0.124150366
100050,0.081606664,0.57956433,0.21672077,0.12210819
100051,0.08144064,0.57073164,0.19980593,0.1480217
100052,0.07832066,0.5752058,0.17710018,0.1693734
100053,0.076151535,0.5677652,0.17347524,0.18260813
100054,0.08598026,0.38440228,0.39113948,0.13847803
100055,0.08819718,0.70221394,0.14064483,0.068944044
100056,0.08713181,0.5772077,0.21812189,0.11753854
100057,0.0892713,0.38320962,0.4155491,0.11196998
100058,0.08839626,0.40952945,0.38598922,0.11608505
100059,0.07617895,0.56568646,0.17622302,0.18191142
100060,0.07342294,0.5050472,0.21848282,0.20304705
100061,0.081580475,0.59178245,0.16954072,0.15709634
100062,0.08683848,0.62070996,0.15058982,0.14186166
100063,0.08305105,0.5278083,0.2455633,0.14357735
100064,0.08739918,0.48133498,0.30582222,0.12544358
100065,0.07905372,0.51407665,0.24167058,0.16519906
100066,0.091206916,0.6458323,0.15677918,0.10618156
100067,0.08455395,0.4824454,0.29343024,0.1395704
100068,0.08484146,0.5526081,0.22468154,0.13786897
100069,0.09271227,0.53833115,0.28909934,0.0798572
100070,0.07154872,0.5018775,0.20889254,0.21768118
100071,0.088753276,0.63503414,0.14467797,0.13153458
100072,0.08288751,0.520661,0.2506027,0.14584881
100073,0.08955983,0.66692907,0.14888616,0.09462495
