id,Class_1,Class_2,Class_3,Class_4
100000,0.0818877,0.62012005,0.19563036,0.10236195
100001,0.08145403,0.58408,0.23155002,0.10291597
100002,0.08218407,0.6629909,0.16274153,0.09208352
100003,0.07826786,0.5199904,0.28630164,0.115440086
100004,0.0781915,0.5117868,0.29698312,0.113038495
100005,0.07784885,0.49252605,0.32210132,0.10752388
100006,0.06904141,0.34544805,0.5159287,0.06958185
100007,0.082904875,0.68802404,0.14714737,0.081923656
100008,0.08466063,0.5880733,0.24660426,0.080661714
100009,0.08031582,0.5728082,0.23644724,0.11042871
100010,0.07733462,0.62034523,0.15235403,0.14996612
100011,0.08161862,0.64755034,0.17236806,0.09846294
100012,0.07371706,0.40374532,0.4386509,0.083886646
100013,0.080335766,0.6559047,0.1496104,0.1141491
100014,0.07818974,0.51163846,0.29717648,0.112995364
100015,0.08084429,0.6192839,0.18477888,0.11509293
100016,0.07539931,0.60225123,0.1498687,0.17248075
100017,0.07869488,0.532656,0.27289915,0.115750015
100018,0.08208138,0.65999895,0.1646066,0.09331309
100019,0.07657938,0.6143938,0.15023835,0.15878858
100020,0.08025744,0.6183536,0.17939316,0.12199581
100021,0.08170658,0.5979194,0.21856804,0.101806
100022,0.081528895,0.5722063,0.24519491,0.10106984
100023,0.08095136,0.6194217,0.18581085,0.113816045
100024,0.07433674,0.59668195,0.14420159,0.18477975
100025,0.062976226,0.5148883,0.20832062,0.21381491
100026,0.08010968,0.5044425,0.32253662,0.092911124
100027,0.08572446,0.6569517,0.18422557,0.07309826
100028,0.07986292,0.5600589,0.2478586,0.11221957
100029,0.08227924,0.6658569,0.16095512,0.09090873
100030,0.08056676,0.5807161,0.22944668,0.10927045
100031,0.076154105,0.44569612,0.3834155,0.09473431
100032,0.07205692,0.38089582,0.46886563,0.078181654
100033,0.06881163,0.34297675,0.5192186,0.06899296
100034,0.07923672,0.6483317,0.14535204,0.12707947
100035,0.07715188,0.63242155,0.13902245,0.15140413
100036,0.07854325,0.51973826,0.28883415,0.11288431
100037,0.08157056,0.59586746,0.21984287,0.102719106
100038,0.081843585,0.527368,0.3030834,0.087704964
100039,0.079888485,0.5607369,0.24724793,0.112126715
100040,0.08284118,0.62603736,0.19767965,0.09344185
100041,0.0704637,0.5689077,0.14301623,0.21761236
100042,0.07363463,0.5763521,0.16390271,0.18611056
100043,0.07576651,0.6079803,0.148011,0.16824225
100044,0.08025744,0.6183536,0.17939316,0.12199581
100045,0.07815193,0.5087137,0.30098712,0.11214729
100046,0.08098486,0.6434153,0.16932265,0.10627713
100047,0.06931766,0.5583922,0.16063479,0.2116553
100048,0.08306356,0.69522035,0.1426697,0.079046376
100049,0.07953139,0.63611215,0.16035601,0.12400042
100050,0.079124615,0.5420513,0.26423556,0.114588566
100051,0.08162302,0.6200241,0.19269381,0.10565907
100052,0.07466392,0.5992693,0.14506218,0.18100467
100053,0.07377153,0.56074446,0.21055329,0.15493074
100054,0.068741694,0.3422298,0.52021325,0.06881524
100055,0.086245544,0.6628245,0.1814475,0.06948242
100056,0.083454564,0.6324209,0.19506001,0.08906447
100057,0.067688316,0.33126318,0.53482866,0.06621982
100058,0.080248795,0.57081145,0.23822431,0.11071543
100059,0.082268074,0.66551596,0.16116759,0.0910483
100060,0.06375401,0.5136546,0.22559357,0.19699784
100061,0.07493851,0.60143995,0.14578938,0.17783223
100062,0.075961106,0.61933947,0.13915035,0.16554907
100063,0.077584505,0.48249033,0.3352114,0.10471376
100064,0.07864052,0.5315123,0.27395922,0.11588789
100065,0.080229744,0.61819655,0.17938139,0.122192375
100066,0.07949243,0.6353631,0.16069552,0.124448955
100067,0.07767426,0.5512878,0.2439658,0.12707213
100068,0.07949243,0.6353631,0.16069552,0.124448955
100069,0.085739985,0.65712535,0.18414448,0.07299019
100070,0.060650405,0.5124054,0.17276563,0.25417864
100071,0.07872789,0.6365613,0.15117618,0.13353461
100072,0.08406656,0.6388851,0.19232406,0.08472437
100073,0.08020925,0.6468856,0.15692578,0.11597945
100074,0.07956845,0.6346289,0.1623191,0.12348358
100075,0.070945986,0.56147015,0.17436247,0.19322139
100076,0.07165456,0.57633495,0.13648535,0.21552517
100077,0.07827214,0.52065486,0.28543696,0.11563609
100078,0.07643517,0.6281213,0.1358893,0.15955412
100079,0.08329725,0.6307749,0.19574326,0.09018455
100080,0.07949243,0.6353631,0.16069552,0.124448955
100081,0.080850825,0.5930083,0.21756592,0.10857494
100082,0.07927794,0.6282197,0.16583185,0.12667052
100083,0.08205269,0.6591799,0.16511714,0.09365021
100084,0.082470715,0.6719407,0.15716386,0.08842481
100085,0.067786366,0.5380697,0.20488381,0.18926007
100086,0.07813536,0.61315984,0.16949746,0.13920729
100087,0.08025744,0.6183536,0.17939316,0.12199581
100088,0.07905986,0.61685705,0.17377515,0.130308
100089,0.0712448,0.55413234,0.2007915,0.17383139
100090,0.0729151,0.5652652,0.1880855,0.1737342
100091,0.08492553,0.6481368,0.18826069,0.07867693
100092,0.0780424,0.63490033,0.14564751,0.14140974
100093,0.079955876,0.63521147,0.16614148,0.11869123
100094,0.08025744,0.6183536,0.17939316,0.12199581
100095,0.080495864,0.57840633,0.23148523,0.109612525
100096,0.07949243,0.6353631,0.16069552,0.124448955
100097,0.082581066,0.56148535,0.26459727,0.09133631
100098,0.084813654,0.64691913,0.18880549,0.079461694
100099,0.07919764,0.5186216,0.2954976,0.10668314
100100,0.07900249,0.6368974,0.15376896,0.13033113
100101,0.07470535,0.56002253,0.22183116,0.14344092
100102,0.07171329,0.5562483,0.20021513,0.17182334
100103,0.07653603,0.45396733,0.3725602,0.09693653
100104,0.073446944,0.56992006,0.18077219,0.1758607
100105,0.07495414,0.42329642,0.4128711,0.0888784
100106,0.080104314,0.63366914,0.16876167,0.11746493
100107,0.0822691,0.5985098,0.22136176,0.09785937
100108,0.08025744,0.6183536,0.17939316,0.12199581
100109,0.07865605,0.5318379,0.27365732,0.11584873
100110,0.07913327,0.6342125,0.15788569,0.12876852
100111,0.074636586,0.5990532,0.14499007,0.18132016
100112,0.07541827,0.43144807,0.40214178,0.090991855
100113,0.07720129,0.4706518,0.35069716,0.10144977
100114,0.08298487,0.6915222,0.14497037,0.08052253
100115,0.08212034,0.6611223,0.16390626,0.09285104
100116,0.08484647,0.64727575,0.18864626,0.07923153
100117,0.08339616,0.7168068,0.1292596,0.07053748
100118,0.069683604,0.5510519,0.18993856,0.18932599
100119,0.0728386,0.39126778,0.45513892,0.08075474
100120,0.08160138,0.6474208,0.17230287,0.0986749
100121,0.08349286,0.73515755,0.117894344,0.06345525
100122,0.0790344,0.5012761,0.31880257,0.10088691
100123,0.07949243,0.6353631,0.16069552,0.124448955
100124,0.07779351,0.49023426,0.32509375,0.10687852
100125,0.08404012,0.6386038,0.19244486,0.08491124
