id,Class_1,Class_2,Class_3,Class_4
100000,0.073881194,0.57615334,0.22281824,0.12714723
100001,0.074733466,0.544918,0.26044992,0.119898595
100002,0.074098855,0.5703571,0.22973981,0.12580423
100003,0.07493127,0.5132105,0.2992765,0.11258183
100004,0.07488335,0.532337,0.27579227,0.1169873
100005,0.07757645,0.5014544,0.3095535,0.111415684
100006,0.07757645,0.5014544,0.3095535,0.111415684
100007,0.0740111,0.5727723,0.22685301,0.12636353
100008,0.07757645,0.5014544,0.3095535,0.111415684
100009,0.074930176,0.5240111,0.28599218,0.11506666
100010,0.074464366,0.5582897,0.24424009,0.12300579
100011,0.07334903,0.5881907,0.20851573,0.1299446
100012,0.07757645,0.5014544,0.3095535,0.111415684
100013,0.07383305,0.5773536,0.22138771,0.12742564
100014,0.07493355,0.51404876,0.2982433,0.112774424
100015,0.07757645,0.5014544,0.3095535,0.111415684
100016,0.07479923,0.5403445,0.26601738,0.118838966
100017,0.07757645,0.5014544,0.3095535,0.111415684
100018,0.07492036,0.5265154,0.28292033,0.11564389
100019,0.07406556,0.571287,0.22862789,0.12601951
100020,0.07410846,0.57008517,0.23006512,0.12574126
100021,0.07757645,0.5014544,0.3095535,0.111415684
100022,0.07757645,0.5014544,0.3095535,0.111415684
100023,0.07462493,0.55102813,0.25303012,0.12131671
100024,0.07384773,0.5769902,0.22182077,0.12734133
100025,0.07491694,0.52722436,0.28205138,0.11580736
100026,0.07757645,0.5014544,0.3095535,0.111415684
100027,0.07757645,0.5014544,0.3095535,0.111415684
100028,0.07757645,0.5014544,0.3095535,0.111415684
100029,0.0743302,0.5633418,0.23814599,0.12418202
100030,0.074929476,0.5126315,0.29999024,0.11244883
100031,0.07757645,0.5014544,0.3095535,0.111415684
100032,0.07493336,0.51397175,0.29833817,0.11275674
100033,0.07757645,0.5014544,0.3095535,0.111415684
100034,0.07390955,0.5754339,0.2236762,0.1269804
100035,0.07456701,0.55383384,0.2496303,0.12196883
100036,0.07757645,0.5014544,0.3095535,0.111415684
100037,0.074891455,0.53129566,0.2770661,0.11674682
100038,0.07757645,0.5014544,0.3095535,0.111415684
