id,Class_1,Class_2,Class_3,Class_4
100000,0.08647136,0.59624577,0.18742508,0.12985778
100001,0.08647244,0.58715546,0.19805993,0.12831214
100002,0.08646707,0.5972889,0.18621065,0.13003345
100003,0.0855498,0.54018635,0.2543103,0.11995347
100004,0.08643765,0.58103484,0.2052706,0.12725693
100005,0.08581185,0.5483425,0.24440067,0.12144492
100006,0.08393445,0.50393844,0.29897273,0.11315434
100007,0.08626681,0.61436284,0.16651611,0.13285427
100008,0.08464426,0.51799333,0.28154048,0.11582191
100009,0.08603904,0.5567276,0.23427148,0.12296188
100010,0.086479746,0.59083927,0.19373931,0.12894168
100011,0.086247645,0.61533815,0.16540213,0.13301213
100012,0.0852407,0.53182113,0.2645298,0.11840835
100013,0.08644514,0.60092837,0.18198305,0.13064341
100014,0.08613994,0.5611003,0.22901368,0.12374608
100015,0.085556924,0.54039276,0.25405887,0.1199914
100016,0.08632466,0.5711816,0.21695843,0.1255352
100017,0.086018376,0.5558923,0.23527779,0.122811526
100018,0.08610474,0.55951315,0.23092018,0.12346199
100019,0.08647993,0.59129566,0.193205,0.12901938
100020,0.086443596,0.58181196,0.20435293,0.12739152
100021,0.085691094,0.54443,0.24914747,0.120731376
100022,0.08477302,0.52078503,0.2780947,0.11634722
100023,0.086405955,0.577587,0.20934944,0.1266576
100024,0.086405516,0.6051852,0.17705823,0.13135102
100025,0.086394094,0.57649046,0.21064919,0.12646629
100026,0.08596224,0.55370694,0.23791346,0.12241736
100027,0.083598614,0.4978954,0.3065099,0.11199612
100028,0.08481395,0.5216922,0.27697626,0.11651759
100029,0.08640128,0.60556227,0.176623,0.13141339
100030,0.08608904,0.5588279,0.23174396,0.12333914
100031,0.08611291,0.5598747,0.23048566,0.123526774
100032,0.08564947,0.54314566,0.25070858,0.120496385
100033,0.08593269,0.5526009,0.23924896,0.12221742
100034,0.08644082,0.6014852,0.18133761,0.13073634
100035,0.08643867,0.6017513,0.1810293,0.1307807
100036,0.083852574,0.5024352,0.3008454,0.112866834
100037,0.086081736,0.55851334,0.23212226,0.12328271
100038,0.08541491,0.5364011,0.25892788,0.1192562
100039,0.08614214,0.5612023,0.22889124,0.12376433
100040,0.08637604,0.57495487,0.21247137,0.12619777
100041,0.08644632,0.58218896,0.20390794,0.12745675
100042,0.08645008,0.5827323,0.20326696,0.12755069
100043,0.086332284,0.571698,0.21634366,0.12562612
100044,0.086479954,0.5916786,0.19275689,0.12908453
100045,0.082496814,0.4799352,0.32905182,0.10851616
100046,0.08647996,0.5914407,0.1930353,0.12904406
100047,0.08647982,0.5909373,0.19362451,0.12895839
100048,0.086247355,0.61535114,0.16538723,0.13301423
100049,0.08646728,0.58583367,0.19961387,0.12808521
100050,0.08566283,0.54355496,0.2502109,0.120571285
100051,0.086050935,0.5572165,0.23368275,0.123049796
100052,0.08640881,0.6048875,0.17740202,0.13130176
100053,0.08640466,0.5774633,0.20949589,0.12663604
100054,0.085842125,0.5493737,0.24315175,0.12163236
100055,0.086468436,0.5861004,0.19930011,0.12813105
100056,0.085967876,0.5539208,0.23765539,0.122455984
100057,0.08486133,0.5227542,0.2756677,0.11671681
100058,0.08315877,0.49042335,0.31586292,0.11055502
100059,0.08624821,0.6153094,0.16543494,0.13300748
100060,0.08616785,0.56241494,0.22743636,0.1239809
100061,0.08647972,0.5907728,0.19381711,0.12893037
100062,0.086450994,0.5828703,0.20310421,0.12757455
100063,0.08632673,0.57132185,0.21679147,0.12555988
100064,0.08589947,0.55139,0.24071237,0.1219982
100065,0.086474575,0.5878379,0.1972585,0.12842907
100066,0.08645206,0.5830321,0.2029134,0.12760249
100067,0.08633572,0.57193583,0.21606047,0.12566796
100068,0.08638399,0.5756136,0.21168935,0.12631305
100069,0.08573664,0.5458709,0.24739785,0.120994546
100070,0.08642712,0.579782,0.20675129,0.12703954
100071,0.086453795,0.5833032,0.20259377,0.1276493
100072,0.086348616,0.6095631,0.17201619,0.13207203
100073,0.08629736,0.61270756,0.16840963,0.13258548
100074,0.086474724,0.5878916,0.19719546,0.12843826
100075,0.08633756,0.572064,0.21590795,0.1256905
100076,0.08645258,0.599878,0.18320154,0.13046783
100077,0.08646599,0.58554703,0.19995101,0.12803593
100078,0.08646074,0.5844941,0.20119044,0.1278547
100079,0.08520376,0.53088814,0.26567304,0.11823509
100080,0.08625308,0.61506534,0.16571358,0.132968
100081,0.086135834,0.56091195,0.22923982,0.1237124
100082,0.08644207,0.58160686,0.20459495,0.12735601
100083,0.08630984,0.6119896,0.16923203,0.13246855
100084,0.08629867,0.61263317,0.16849478,0.13257337
100085,0.08639953,0.57698375,0.21006438,0.12655239
100086,0.08646869,0.58616376,0.19922557,0.12814194
100087,0.08630629,0.6121972,0.16899413,0.13250239
100088,0.08646327,0.5849815,0.20061664,0.12793863
100089,0.0863255,0.5712378,0.21689151,0.1255451
100090,0.086447366,0.58233744,0.20373274,0.12748243
100091,0.08646531,0.59766334,0.18577491,0.1300964
100092,0.08644501,0.58200485,0.20412521,0.1274249
100093,0.08644509,0.5820151,0.20411316,0.12742668
100094,0.08641897,0.6039116,0.17852947,0.13113998
100095,0.08622721,0.5654099,0.22384873,0.12451421
100096,0.08642064,0.57907027,0.20759319,0.12691586
100097,0.083622456,0.4983141,0.30598685,0.11207655
100098,0.085938476,0.5528151,0.2389903,0.122256175
100099,0.08619164,0.5635801,0.22603957,0.124188654
100100,0.08647764,0.59400856,0.19003393,0.12947986
100101,0.08611673,0.5600462,0.23027954,0.123557486
100102,0.086402595,0.5772678,0.20972766,0.12660195
100103,0.08634629,0.57268375,0.21517053,0.12579945
100104,0.08645462,0.58343875,0.20243381,0.1276727
100105,0.086072795,0.5581323,0.23258054,0.12321432
100106,0.08604343,0.5569078,0.23405452,0.122994274
100107,0.086447425,0.58234227,0.20372714,0.12748326
100108,0.08609136,0.5589282,0.23162334,0.12335712
100109,0.08630748,0.5700593,0.21829583,0.12533738
100110,0.08647277,0.59584546,0.18789141,0.12979028
100111,0.08647369,0.5875397,0.19760865,0.12837799
100112,0.08610102,0.5593495,0.23111688,0.12343266
100113,0.08491166,0.52389777,0.27425942,0.11693109
100114,0.08646241,0.59823495,0.18511023,0.13019241
100115,0.086417764,0.60403174,0.17839055,0.1311599
100116,0.085389666,0.5357174,0.25976297,0.119129926
100117,0.0864001,0.57703614,0.21000227,0.12656154
100118,0.08637707,0.57503986,0.21237038,0.12621266
100119,0.08629774,0.56944686,0.2190261,0.12522927
100120,0.086476184,0.5946759,0.18925518,0.12959276
100121,0.0862479,0.61532485,0.1654173,0.13300999
100122,0.085978985,0.5543469,0.23714112,0.122532904
100123,0.08630224,0.61242926,0.1687283,0.13254018
100124,0.08516919,0.5300259,0.26673007,0.11807479
100125,0.08632221,0.5710178,0.21715358,0.12550636
100126,0.08627939,0.6136968,0.16727757,0.13274625
100127,0.08647202,0.5960616,0.18763964,0.12982674
100128,0.086478084,0.5937674,0.19031557,0.12943903
100129,0.08624725,0.61535674,0.16538084,0.13301514
100130,0.08644622,0.60078317,0.1821514,0.13061915
100131,0.086262494,0.5673515,0.22152728,0.124858655
100132,0.086276546,0.5681651,0.22055563,0.12500271
100133,0.086259834,0.6147221,0.16610569,0.13291246
100134,0.0846192,0.5174605,0.28219876,0.11572146
100135,0.085157014,0.52972454,0.2670997,0.11801874
100136,0.0848949,0.5235155,0.27473006,0.11685949
100137,0.08643745,0.58100855,0.20530163,0.12725236
100138,0.08442385,0.5134075,0.28721297,0.11495568
100139,0.086106226,0.55957884,0.23084114,0.12347376
100140,0.08481646,0.52174836,0.2769071,0.11652812
100141,0.0864652,0.5976855,0.18574916,0.13010015
100142,0.08073862,0.45519432,0.36043054,0.103636555
100143,0.08645501,0.5995041,0.18363568,0.13040525
100144,0.08578037,0.5472928,0.24567306,0.12125383
100145,0.08542968,0.5368045,0.2584352,0.11933066
100146,0.08562768,0.54248583,0.251511,0.1203755
100147,0.08647192,0.59609085,0.18760552,0.12983167
100148,0.08634232,0.5723988,0.21550955,0.12574938
100149,0.08635658,0.5734387,0.21427266,0.12593201
100150,0.086395465,0.57661504,0.21050145,0.12648804
100151,0.08647436,0.5877654,0.19734365,0.12841666
100152,0.085953675,0.55338347,0.23830399,0.12235891
100153,0.08634201,0.5723772,0.21553513,0.12574556
100154,0.086367615,0.57428384,0.2132683,0.12608023
100155,0.08556889,0.54074115,0.2536346,0.12005541
100156,0.086353056,0.5731757,0.21458541,0.12588586
100157,0.08601978,0.55594826,0.2352103,0.12282161
100158,0.086398974,0.5769328,0.21012472,0.12654349
100159,0.086167,0.5623746,0.22748469,0.12397371
100160,0.08402851,0.5056921,0.29679015,0.11348921
100161,0.08636837,0.5743423,0.21319881,0.12609048
100162,0.08592548,0.5523355,0.2395696,0.1221694
100163,0.08624881,0.6152793,0.16546923,0.13300262
100164,0.08636815,0.60819864,0.17358515,0.13184805
100165,0.08617518,0.56276965,0.22701097,0.12404417
100166,0.08643288,0.5804523,0.20595877,0.1271559
100167,0.08647443,0.59532064,0.18850319,0.12970172
100168,0.086409,0.577882,0.20899993,0.12670901
100169,0.086181544,0.5630802,0.22663869,0.12409955
100170,0.08604132,0.55682045,0.23415972,0.12297857
100171,0.08647888,0.5898981,0.19484185,0.12878126
100172,0.08645567,0.58360976,0.20223238,0.1277022
100173,0.08636739,0.6082525,0.17352308,0.13185692
100174,0.08633891,0.61020327,0.17128107,0.13217683
100175,0.08640731,0.57771665,0.2091959,0.12668021
100176,0.086479016,0.59000677,0.19471443,0.12879978
100177,0.08427836,0.5104985,0.29081902,0.114404075
100178,0.086429514,0.5800553,0.20642817,0.12708703
100179,0.08647636,0.5885225,0.19645488,0.12854625
100180,0.08579981,0.54793864,0.2448901,0.12137142
100181,0.08625286,0.61507607,0.16570126,0.13296975
100182,0.08608793,0.5587794,0.23180221,0.12333046
100183,0.08647706,0.58883774,0.19608504,0.12860015
100184,0.08647069,0.58666843,0.19863234,0.12822859
100185,0.08646631,0.59745204,0.18602076,0.13006088
100186,0.086243846,0.5663085,0.22277388,0.12467373
100187,0.086289145,0.613165,0.16788593,0.13265987
100188,0.08615062,0.56159717,0.22841738,0.123834886
100189,0.08594917,0.55321413,0.23850833,0.12232831
100190,0.08531972,0.53386,0.26203385,0.11878635
100191,0.086222395,0.5651548,0.22415403,0.124468856
100192,0.08632607,0.5712764,0.21684556,0.1255519
100193,0.08619435,0.5637155,0.22587734,0.12421278
100194,0.08627285,0.5679493,0.22081332,0.12496452
100195,0.08581379,0.54840785,0.24432163,0.12145679
100196,0.08639468,0.5765436,0.21058612,0.12647557
100197,0.08629147,0.5690603,0.21948722,0.12516099
100198,0.08624743,0.615348,0.16539085,0.13301373
100199,0.08624737,0.61535096,0.1653874,0.1330142
100200,0.086373776,0.5747726,0.21268772,0.12616588
100201,0.086445324,0.58204883,0.20407328,0.1274325
100202,0.086249895,0.61522466,0.16553164,0.13299379
100203,0.08622214,0.5651418,0.22416957,0.12446656
100204,0.085797615,0.5478654,0.2449789,0.121358074
100205,0.086432904,0.60243094,0.18024229,0.13089392
100206,0.08630203,0.56971335,0.21870834,0.12527633
100207,0.086256415,0.56700647,0.22193958,0.12479752
100208,0.08647862,0.5934208,0.19072028,0.12938029
100209,0.0864271,0.57977945,0.20675436,0.1270391
100210,0.08643704,0.5809588,0.20536043,0.12724373
100211,0.08644764,0.58237594,0.20368728,0.12748909
100212,0.08643552,0.60212773,0.18059336,0.13084342
100213,0.08597024,0.5540106,0.23754695,0.122472204
100214,0.08628272,0.5685317,0.22011797,0.12506755
100215,0.08466418,0.5184193,0.28101438,0.115902156
100216,0.0857674,0.5468676,0.24618866,0.12117634
100217,0.0862456,0.566404,0.22265977,0.124690674
100218,0.08609886,0.5592545,0.23123102,0.12341565
100219,0.08645041,0.58278126,0.20320925,0.12755916
100220,0.08647982,0.59217864,0.19217207,0.12916952
100221,0.08590612,0.55162996,0.24042223,0.12204167
100222,0.0861279,0.5605492,0.22967538,0.1236475
100223,0.08640102,0.5771211,0.20990148,0.12657635
100224,0.08623055,0.5655883,0.22363523,0.12454589
100225,0.08644786,0.58240616,0.20365164,0.1274943
100226,0.08639789,0.57683325,0.21024272,0.12652613
100227,0.08544552,0.53724015,0.25790325,0.11941104
100228,0.08620405,0.5642052,0.22529082,0.124299966
100229,0.086449236,0.58260703,0.20341472,0.12752904
